;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;;;;;;;;;;
;;Vitrína rohová;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;208;Přesýpací hodiny;;funkční;;;;;;
;209;Kované zámky 6 ks;;;;;;;;
;210;Razítko časové;;;;;;;;
;211;Staroměstská věž 3 klauni;;;;;;;;
;212;Staroměstská věž keramika;;;;;;;;
;213;Čínský budík keramika;;;;;;;;
;214;Propagandawecker;;;;;;;;
;215;Hotelový budík modrý;;;;;;;;
;216;Vodní hodiny čínské;;;;;;;;
;217;Hotelový budík velký;;;;;;;;
;218;Věž Big - Ben;;;;;;;;
;219;Automatické máčedlo čaje;;;;;;;;
;220;Vodní budík;;;;;;;;
;221;Hodiny - váhy;;;;;;;;
;222;Hodiny ročky;;;;;;;;
;223;Budík Slava;;;;;;;;
;224;Hodiny sluneční pistole;;;;;;;;
;225;Budík náboj;;;;;;;;
;226;Hodiny čtvercové;;;;;;;;
;227;Hodiny houslový klíč;;;;;;;;
;228;Hodiny cylindrické;;;;;;;;
;229;Hodiny přesýpací;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Volně;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;230;Závěsné Elektročas oboustranné;PD40 / 1961;funkční;;;;;;
;231;Píchačky 1;;nefunkční;;;;;;
;232;Píchačky 2;;nefunkční;;;;;;
;233;Píchačky Bürk;;funkční;;;;;;
;234;Podružné věžní Hainz;;funkční;;;;;;
;235;Podlahové HH3;;funkční;;;;;;
;236;Závěsné IBM;;funkční;;;;;;
;237;Podružné IBM 4x;;funkční;;;;;;
;238;Nástěnné ATO;;funkční;;;;;;
;239;Píchačky Elektročas DK6;;funkční;;;;;;
;240;Píchačky Elektročas Dk1;;funkční;;;;;;
;241;Píchačky Isgus;;funkční;;;;;;
;242;Ústředna EHU 0660;;funkční;;;;;;
;243;Linkový rozváděč EHU 260;;funkční;;;;;;
;244;Podružné Jednotný čas;;funkční;;;;;;
;245;Podružné Brillié;;funkční;;;;;;
;246;Píchačky červené DK8B;;funkční;;;;;;
;247;Pragotron C301;;funkční;;;;;;
;248;Kapesní velké;;funkční;;;;;;
;249;Pouliční hodiny;;funkční;;;;;;
;250;Píchačky červené DK8B;;funkční;;;;;;
;251;Píchačky Elektročas Dk6;;funkční;;;;;;
;252;Hodiny podlahové;;funkční;;;;;;
;253;Parkovací automat;;funkční;;;;;;
;254;Ústředna MUP 40;;funkční;;;;;;
;255;Píchačky Omikron;;funkční;;;;;;
;256;Nástěnné se setrvačkou;;funkční;;;;;;
;257;Nástěnné Hainz;;funkční;;;;;;
;258;Tellurium;;funkční;;;;;;
;259;Matiční Siemens;;funkční;;;;;;
;260;Time slider Spilka;;funkční;;;;;;
;261;Docházkové hodiny Timometer;;funkční;;;;;;
;262;Hodiny Pragotron velké;;funkční;;;;;;
;;;;;;;;;;
