parent_key	att_key	pdf_size	pages	cache_words	reason	att_filename
CCVY4T92	7XDQSPB5	2509913	3	0	lower-quality	L.C. Mader - 1881 - Zur Einführung einer Normalzeit.pdf
CCVY4T92	93VJASRD	2509913	3	0	lower-quality	L.C. Mader - 1881 - Zur Einführung einer Normalzeit.pdf
NVGNXE6F	8FQHQ6JI	881718	24	10457	identical-duplicate (keep first)	Jerczyński - 2021 - Czas kolejowy.pdf
NVGNXE6F	Q6Q6PX48	MISSING	0	0	lower-quality	Plný text
YQP33YMI	HNME4MP4	316505	41	15465	identical-duplicate (keep first)	Kuchenbuch - 2018 - Ein Atavismus der Hochmoderne Die Sommerzeit als „social engineering“ (1907–1980).pdf
YQP33YMI	XQNAA9T4	316755	41	15465	identical-duplicate (keep first)	Kuchenbuch - 2018 - Ein Atavismus der Hochmoderne Die Sommerzeit als „social engineering“ (1907–1980).pdf
BNXNMLN7	FDXJGNSP	2859206	32	15116	identical-duplicate (keep first)	Katzir - 2017 - Time Standards for the Twentieth Century Telecommunication, Physics, and the Quartz Clock.pdf
BNXNMLN7	SPIBQVCK	2859206	32	15116	identical-duplicate (keep first)	Katzir - 2017 - Time Standards for the Twentieth Century Telecommunication, Physics, and the Quartz Clock.pdf
MFICES69	AAR4EN4D	3106822	12	4510	identical-duplicate (keep first)	Valsecchi - 1878 - Della famiglia Dondi dall'orologio e specialmente dei due piu’ illustri suoi membri memoria.pdf
MFICES69	QF93KWQJ	MISSING	0	0	lower-quality	PDF
GDUVN2CU	T743NRGH	79344	11	4658	identical-duplicate (keep first)	Truffa - Works by Iacopo and Giovanni Dondi dall Orologio.pdf
GDUVN2CU	U5LQDQ3B	79344	11	4658	identical-duplicate (keep first)	Truffa - Works by Iacopo and Giovanni Dondi dall Orologio.pdf
Y7YZCTQJ	HA4PJ3HP	12690402	178	51250	identical-duplicate (keep first)	Corti - Trascrizione di Fernando Civardi – 2010.pdf
Y7YZCTQJ	W3ZLYJ5V	12690402	178	51250	identical-duplicate (keep first)	Corti - Trascrizione di Fernando Civardi – 2010.pdf
IWYPR8ZQ	KIGH96C6	831878	10	5722	identical-duplicate (keep first)	Špička - Francesco Petrarca a jeho latinské dílo.pdf
IWYPR8ZQ	255U6XBD	MISSING	0	0	lower-quality	PDF
4GEJ7W2W	UIMJ4NHX	330685	3	1164	identical-duplicate (keep first)	Philippe a Philippe - 2008 - Songe du vieux pélerin.pdf
DHJR4PZT	QSRRRCEI	8023154	33	12208	identical-duplicate (keep first)	Camporeale - 2013 - Orologi pubblici in Italia dalle torri alle tarsie.pdf
DHJR4PZT	YR6BWJ6A	8023154	33	12208	identical-duplicate (keep first)	Camporeale - 2013 - Orologi pubblici in Italia dalle torri alle tarsie.pdf
CS4YAG3A	NYDLRET7	5026596	23	8721	identical-duplicate (keep first)	Zaru - 2013 - Gli affreschi della cappella carrarese a Padova le origini bizantine della narrazione visiva di Gua.pdf
CS4YAG3A	QV98TY56	MISSING	0	0	lower-quality	PDF
RN944G73	XSXMYAWG	5674579	11	6117	identical-duplicate (keep first)	Bláhová - Osobnost Jana ze Středy.pdf
RN944G73	T76PGLLL	MISSING	0	0	lower-quality	PDF
GZL4UV92	FYAARBAT	334986	46	13853	identical-duplicate (keep first)	Junová - Prohlašuji, že jsem bakalářskou diplomovou práci na téma „Karel IV. a Francesco Petrarca ve světle k.pdf
GZL4UV92	FGFYAI7N	MISSING	0	0	lower-quality	PDF
BASBF74J	SP5YPHU7	8452116	103	23810	identical-duplicate (keep first)	Judová - Karel IV. a severní Itálie. Původ výzdoby inkrustacemi v karlštejnských kaplích a kapli sv. Václava.pdf
BASBF74J	MKQ24KG8	MISSING	0	0	lower-quality	PDF
HBBG5ZG8	NCZXLI4P	1849956	3	1544	identical-duplicate (keep first)	2003 - Book Rewview Medieval craftsmanship elucidated.pdf
